doc_num,token
0001,"['0.39', '1,750', '1,780', '1,850', '1,870', '1,875', '1,880', '1,880', '1.06', '1.25', '1.25', '1.25', '15', '155,221', '15:01:01.79', '1986', '1987', '2,325', '2,375', '2,380', '2,400', '2.27', '2.27', '2.27', '2.28', '22', '26-feb-1987', '27', '28', '340', '35', '350', '4,340', '4,345', '4,350', '4,351', '4,400', '4,415', '4,450', '4,480', '45', '5.81', '5.93', '6.13', '6.2', '6.4', '60', '753', '785', '785', '87', '88', '995', 'allevi', 'almost', 'also', 'although', 'april', 'april', 'april', 'april', 'area', 'area', 'argentina', 'around', 'arriv', 'arriv', 'arroba', 'aug', 'aug', 'aug', 'aug', 'avail', 'bag', 'bag', 'bag', 'bag', 'bag', 'bahia', 'bahia', 'bahia', 'bahia', 'bahia', 'bean', 'bean', 'book', 'brazilian', 'butter', 'butter', 'buyer', 'cake', 'carniv', 'certif', 'cocoa', 'cocoa', 'cocoa', 'cocoa', 'cocoa', 'cocoa', 'cocoa', 'come', 'come', 'comissaria', 'comissaria', 'comissaria', 'comissaria', 'comissaria', 'commiss', 'consign', 'consign', 'continu', 'convert', 'covert', 'crop', 'crop', 'crop', 'crop', 'crop', 'cruzado', 'cumul', 'currenc', 'currenc', 'current', 'dec', 'dec', 'dec', 'dec', 'dec', 'dec', 'deliv', 'destin', 'dificulti', 'dlrs', 'dlrs', 'dlrs', 'dlrs', 'dlrs', 'dlrs', 'dlrs', 'dlrs', 'dlrs', 'dlrs', 'dlrs', 'dlrs', 'dlrs', 'dlrs', 'doubt', 'doubt', 'dri', 'drought', 'earli', 'earlier', 'end', 'end', 'end', 'estim', 'estim', 'expect', 'experienc', 'export', 'export', 'farmer', 'farmer', 'februari', 'februari', 'februari', 'figur', 'figur', 'final', 'fit', 'fob', 'go', 'good', 'hand', 'harvest', 'held', 'humid', 'hundr', 'improv', 'includ', 'januari', 'juli', 'juli', 'juli', 'juli', 'juli', 'june', 'june', 'june', 'kilo', 'kilo', 'last', 'late', 'level', 'light', 'limit', 'limit', 'liquor', 'lower', 'made', 'make', 'march', 'march', 'march', 'march', 'may', 'may', 'may', 'mean', 'midday', 'middlemen', 'mln', 'mln', 'mln', 'mln', 'mln', 'much', 'much', 'name', 'nearbi', 'new', 'new', 'new', 'new', 'new', 'new', 'new', 'new', 'new', 'normal', 'obtain', 'oct', 'oct', 'oct', 'offer', 'old', 'open', 'open', 'part', 'per', 'per', 'per', 'period', 'period', 'port', 'port', 'port', 'practic', 'price', 'processor', 'prospect', 'publish', 'qualiti', 'recent', 'regist', 'reluct', 'restor', 'review', 'review', 'rose', 'routin', 'said', 'said', 'said', 'said', 'said', 'sale', 'sale', 'sale', 'sale', 'sale', 'sale', 'sale', 'season', 'seem', 'sell', 'sept', 'sept', 'sept', 'sept', 'sept', 'shipment', 'shipment', 'shipper', 'shipper', 'shower', 'sinc', 'smith', 'smith', 'smith', 'smith', 'smith', 'sold', 'sold', 'spot', 'stage', 'stand', 'still', 'still', 'still', 'superior', 'temporao', 'temporao', 'thousand', 'throughout', 'time', 'time', 'time', 'time', 'time', 'time', 'time', 'tonn', 'tonn', 'total', 'total', 'total', 'trade', 'u', 'u', 'uruguay', 'uruguay', 'view', 'week', 'week', 'week', 'week', 'went', 'would', 'year', 'year', 'york', 'york', 'york', 'york', 'york', 'york', 'york', 'york', 'zone']"
0002,"['15:02:20.00', '26-feb-1987', '55', 'activ', 'also', 'america', 'america', 'borrow', 'bp', 'bp', 'bp', 'bp', 'british', 'call', 'co', 'co', 'committe', 'compani', 'financi', 'financi', 'form', 'form', 'inc', 'interest', 'invest', 'joint', 'manag', 'manag', 'market', 'money', 'north', 'north', 'oil', 'oil', 'oil', 'oil', 'oper', 'oversight', 'own', 'pct', 'petroleum', 'plan', 'plc', 'said', 'srd', 'standard', 'standard', 'standard', 'standard', 'standard', 'subsidiari', 'trade', 'unit', 'ventur', 'ventur']"
0003,"['13.5', '15:03:27.51', '26-feb-1987', '31', '7.5', 'applic', 'asset', 'bancshar', 'bancshar', 'bank', 'bank', 'bank', 'bank', 'billion', 'billion', 'commerc', 'commerc', 'commerc', 'comptrol', 'counti', 'creat', 'currenc', 'deposit', 'dlrs', 'dlrs', 'effort', 'file', 'file', 'harri', 'houston', 'inc', 'largest', 'link', 'network', 'network', 'plan', 'said', 'said', 'tcb', 'texa', 'texa', 'texa', 'would']"
0004,"['-1', '-20', '1', '11', '12', '15', '15:07:13.72', '2', '2.70', '200', '26', '26-feb-1987', '8', '9', 'act', 'afternoon', 'along', 'although', 'analyst', 'analyst', 'analyst', 'analyst', 'analyst', 'analyst', 'analyst', 'analyst', 'analyst', 'approv', 'approv', 'approv', 'around', 'arsenio', 'arthur', 'ask', 'bac', 'bancorp', 'bank', 'bank', 'bank', 'bank', 'bank', 'bank', 'bank', 'bankamerica', 'bankamerica', 'bankamerica', 'bankamerica', 'bankamerica', 'bankamerica', 'bankamerica', 'bankamerica', 'bankamerica', 'bankamerica', 'bankamerica', 'bankamerica', 'bankamerica', 'bankamerica', 'believ', 'believ', 'bid', 'bid', 'billion', 'billion', 'birr', 'brazil', 'brazil', 'brazil', 'brazilian', 'brazilian', 'circumst', 'co', 'cohn', 'cohn', 'come', 'commiss', 'communic', 'conceiv', 'condit', 'continu', 'convers', 'convert', 'corp', 'could', 'creditor', 'current', 'daniel', 'debt', 'debt', 'debt', 'debt', 'debt', 'debt', 'delay', 'delay', 'depress', 'determin', 'dilut', 'dlr', 'dlrs', 'dlrs', 'dlrs', 'earlier', 'eas', 'encompass', 'equiti', 'equiti', 'equiti', 'equiti', 'evalu', 'even', 'exchang', 'expect', 'expect', 'factor', 'fail', 'fall', 'februari', 'fell', 'fenner', 'file', 'financi', 'financi', 'first', 'first', 'foreign', 'gone', 'group', 'hang', 'hold', 'holder', 'howev', 'immedi', 'immedi', 'improv', 'industri', 'initi', 'interest', 'interest', 'interest', 'interst', 'interst', 'issu', 'januari', 'joseph', 'larg', 'lawrenc', 'lead', 'least', 'like', 'loan', 'long', 'longer', 'longer', 'longer', 'lose', 'lose', 'loss', 'loss', 'lower', 'lynch', 'major', 'major', 'market', 'market', 'market', 'mean', 'merril', 'mexico', 'miller', 'minim', 'mln', 'mln', 'much', 'must', 'near', 'nervous', 'nevertheless', 'news', 'news', 'note', 'note', 'offer', 'offer', 'offer', 'offer', 'offer', 'offer', 'offer', 'one', 'one', 'outlook', 'part', 'pay', 'payment', 'perform', 'pierc', 'point', 'poor', 'portion', 'potenti', 'prefer', 'presid', 'pressur', 'pressur', 'price', 'price', 'problem', 'proceed', 'propos', 'put', 'quarter', 'quarter', 'quick', 'rate', 'reaction', 'receiv', 'recent', 'recommend', 'reduc', 'restructur', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'sec', 'sec', 'secur', 'secur', 'seen', 'sell', 'servic', 'sever', 'shock', 'show', 'show', 'similar', 'smith', 'specifi', 'spokesman', 'stand', 'stand', 'stock', 'stock', 'stock', 'stock', 'stock', 'stock', 'stock', 'suspend', 'sutro', 'take', 'takeov', 'takeov', 'talk', 'term', 'threat', 'time', 'trade', 'type', 'vice', 'wait', 'way', 'week', 'week', 'week', 'well', 'william', 'wilson', 'withdraw', 'would', 'would', 'would', 'would', 'would', 'would', 'year', 'yet', 'yet']"
0005,"['-1986', '0.99', '1', '1.24', '1.35', '1.56', '1.65', '1.92', '100', '14', '15:10:44.60', '19', '1981', '1981', '1984', '1986', '2.34', '2.40', '2.55', '2.55', '2.55', '2.65', '23', '25', '26-feb-1987', '3.15', '3.15', '3.25', '3.25', '4.45', '4.65', '4.65', '5', '5.36', '5.36', '5.54', '6', '7', '82', '82', 'agricultur', 'avail', 'averag', 'averag', 'avg', 'avg', 'barley', 'barley', 'bu', 'call', 'call', 'corn', 'corn', 'cover', 'cwt', 'cwt', 'day', 'depart', 'dlrs', 'dlrs', 'enter', 'enter', 'farmer', 'farmer', 'februari', 'feedgrain', 'five', 'follow', 'grain', 'ii', 'iii', 'iv', 'iv', 'iv', 'iv', 'iv', 'januari', 'juli', 'lbs', 'level', 'level', 'level', 'level', 'level', 'loan', 'loan', 'matur', 'n', 'n', 'nation', 'nation', 'natl', 'natl', 'oat', 'oct', 'own', 'own', 'per', 'price', 'price', 'price', 'price', 'price', 'price', 'rate', 'rate', 'rate', 'rate', 'reflect', 'releas', 'releas', 'report', 'reserv', 'reserv', 'reserv', 'sorghum', 'sorghum', 'sorghum', 'u', 'v', 'v', 'v', 'v', 'v', 'v', 'vi', 'vi', 'wheat', 'wheat', 'wheat', 'wheat', 'x', 'x', 'x', 'x']"
0006,"['1,655.8', '10.0', '10.0', '100.9', '107.3', '11', '111.8', '117.6', '12', '13.0', '13.2', '14.5', '145.3', '149.8', '15.0', '15.9', '15:14:36.41', '164.6', '166.1', '182.4', '1985', '1986', '1986', '1986', '2,692.4', '2.0', '2.0', '20.0', '20.0', '20.0', '20.4', '21.1', '218.5', '23.6', '24.5', '25.1', '26-feb-1987', '3.2', '3.7', '32.9', '33.7', '34.8', '37.4', '39.9', '4,161.0', '45.1', '48.0', '48.0', '48.6', '48.7', '55.8', '6.3', '6.8', '61.5', '61.8', '7.0', '7.9', '76.1', '80.8', '82.7', '86', '87', '87', '87.4', '872.0', '9.0', 'also', 'apr', 'apr', 'apr', 'apr', 'apr', 'apr', 'apr', 'argentin', 'argentin', 'board', 'board', 'bracket', 'bread', 'crop', 'detail', 'export', 'export', 'feb', 'feb', 'feb', 'feb', 'feb', 'feb', 'feb', 'feb', 'februari', 'februari', 'figur', 'follow', 'futur', 'grain', 'grain', 'grain', 'jul', 'jun', 'jun', 'linoil', 'linse', 'maiz', 'mar', 'mar', 'mar', 'mar', 'mar', 'mar', 'mar', 'march', 'march', 'may', 'may', 'may', 'may', 'month', 'nil', 'nil', 'nil', 'nil', 'nil', 'nil', 'nil', 'nil', 'oil', 'oil', 'oilse', 'oilse', 'oilse', 'prev', 'prev', 'prev', 'prev', 'prev', 'prev', 'prev', 'prev', 'product', 'registr', 'registr', 'registr', 'registr', 'registr', 'shipment', 'show', 'show', 'sorghum', 'soybean', 'soybean', 'soybean', 'subproduct', 'subproduct', 'sunflowerse', 'sunflowerse', 'sunoil', 'thousand', 'tonn', 'total', 'total', 'total', 'total', 'total', 'total', 'total', 'total', 'total', 'total', 'total', 'total', 'total', 'veget', 'wheat', 'wheat']"
0007,"['10', '102.5', '15:14:42.83', '20', '26-feb-1987', '4,790,000', 'acquisit', 'along', 'commiss', 'compani', 'cover', 'dlr', 'dlrs', 'exchang', 'expect', 'file', 'file', 'financ', 'hotel', 'inn', 'inn', 'interest', 'limit', 'limit', 'lion', 'lion', 'lion', 'loan', 'mln', 'mortgag', 'offer', 'offer', 'offer', 'offer', 'partnership', 'partnership', 'per', 'plan', 'plan', 'price', 'proceed', 'propos', 'red', 'red', 'red', 'registr', 'said', 'said', 'said', 'secur', 'statement', 'unit', 'unit', 'use']"
0008,"['-1', '-3', '15:15:40.12', '1987', '26-feb-1987', 'ad', 'affect', 'appear', 'ba', 'baa', 'billion', 'billion', 'co', 'compani', 'corp', 'creditor', 'debt', 'debt', 'debt', 'dlrs', 'dlrs', 'dowgrad', 'establish', 'facil', 'field', 'implic', 'inc', 'includ', 'investor', 'late', 'lower', 'lower', 'marathon', 'moodi', 'moodi', 'moodi', 'moodi', 'negat', 'oil', 'one', 'payment', 'posit', 'prefer', 'product', 'profit', 'prolif', 'rate', 'rate', 'recent', 'return', 'said', 'said', 'secur', 'segment', 'senior', 'servic', 'seven', 'signific', 'steel', 'stock', 'unit', 'unsecur', 'usx', 'usx', 'usx', 'usx', 'x', 'yate']"
0009,"['1', '15:17:11.20', '1987', '23', '25', '26-feb-1987', 'also', 'annual', 'approv', 'approv', 'april', 'april', 'author', 'board', 'board', 'capit', 'ch', 'champion', 'champion', 'common', 'compani', 'director', 'five', 'inc', 'increas', 'meet', 'mln', 'mln', 'one', 'product', 'product', 'recommend', 'record', 'said', 'said', 'share', 'share', 'sharehold', 'sharehold', 'split', 'split', 'stock', 'stock', 'stock', 'two', 'vote']"
0010,"['1.50', '125', '15:18:06.67', '200,000', '200,000', '26-feb-1987', '40', '50,000', '75', 'acquir', 'addit', 'addit', 'also', 'also', 'buy', 'certain', 'chang', 'circumst', 'common', 'common', 'common', 'compani', 'compani', 'compani', 'compani', 'complet', 'complet', 'comput', 'comput', 'comput', 'comput', 'comput', 'comput', 'comput', 'condit', 'continu', 'control', 'cost', 'cpml', 'current', 'deliveri', 'dlrs', 'dlrs', 'dlrs', 'dlrs', 'dot', 'ensur', 'equal', 'exceed', 'exclus', 'exercis', 'exercis', 'five', 'form', 'futur', 'generat', 'help', 'hold', 'houston', 'impact', 'improv', 'inc', 'inc', 'includ', 'increas', 'involv', 'label', 'license', 'lugano', 'make', 'market', 'matrix', 'mln', 'move', 'n', 'occur', 'one', 'oper', 'outstand', 'part', 'pay', 'pct', 'pct', 'per', 'per', 'plan', 'price', 'price', 'price', 'printer', 'product', 'purchas', 'reorgan', 'right', 'right', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'sale', 'sale', 'sedio', 'sedio', 'share', 'share', 'share', 'share', 'share', 'sold', 'stock', 'stock', 'stock', 'switzerland', 'system', 'system', 'tag', 'technolgi', 'technolog', 'technolog', 'termin', 'termin', 'termin', 'termin', 'termin', 'termin', 'termin', 'tex', 'ticket', 'time', 'total', 'v', 'warrant', 'warrant', 'warrant', 'woodco', 'woodco', 'worldwid', 'would', 'would', 'would', 'year']"
